HASH,METHOD,ADDONS,STATS,DATE
b228115a2494493f664fb67663336e3d56c26c83f2881b8c63384f10d81f00ec9b85c5d0cfa785396963443b915b4904c1c9dff3b5b5dc535195c5f69eb9d984,SKEEP,NULL,,19032022
297ed8eaa06365ac129a0e2040cca3801263ab53ab351dd9372f96c8d79a580496d1ec8e67ff892f3abe2493ef2c377aa6c01d98362ce09b12b4a9c874700eb8,SKEEP,NULL,,19032022
5bb82e089a04726514e9bb7ee2a96a12356f2ab16e14fa86cf6a97cc67fa739019a9d4b30bfdf9b053d93984e21cf05d4414c961a4dc179987fcf8cb436f3395,./autogen.sh && ./configure,,ERR,19032022
5bb82e089a04726514e9bb7ee2a96a12356f2ab16e14fa86cf6a97cc67fa739019a9d4b30bfdf9b053d93984e21cf05d4414c961a4dc179987fcf8cb436f3395,autoreconf -i && ./configure,,ERR,19032022
5bb82e089a04726514e9bb7ee2a96a12356f2ab16e14fa86cf6a97cc67fa739019a9d4b30bfdf9b053d93984e21cf05d4414c961a4dc179987fcf8cb436f3395,cmake ./,,ERR,19032022
cfb361184d7b9bb06a8931e85a66d7c3c7d7b15b9bf3274f2c99107f790689f5a956262cebefe8ce834d555c1c9aee2c0195fdc5cd20871d9a8f2c8efcd33259,autoreconf -i && ./configure,,ERR,19032022
d577f4b84be4a0d4ca1380108c300a21620fa68dcd1a51a963e59c546612af190a66a0f740ff4be0011346dfc039d5d42baa2ce264edb28ed58e09079e3f3eac,./configure,,OK,19032022
f9a428e8e5a6c53cd79de00b5e65167a00f334924dac8fdf5da7839453c4d2f109a333812085f8662b036d7cdd9ce13c21792a31d77bc1089895ba27ca54590e,autoreconf -i && ./configure,,ERR,19032022
f9a428e8e5a6c53cd79de00b5e65167a00f334924dac8fdf5da7839453c4d2f109a333812085f8662b036d7cdd9ce13c21792a31d77bc1089895ba27ca54590e,./bootstrap&&./configure, libcurl,ERR,19032022
6b651be9a0ba0ef7b16639ca164245bac431c28c81cbdd45e8e14977d7ee90adc7a254926752a715991c6d24a6ed466315b6d6a2f83953448829d82640cbe67f,SKEEP,NULL,,19032022
51e1ca2d10d5f974607676030bd1c671fae2a8062725a3eaaf5d3b2439616d0f219f9389fa138222447f0700c504897b82643153521b5b93f05662ed252748cc,cmake ./,,ERR,19032022
895f9a76bf942a04f29c76e960bda68025c63b6134590847ff9759dca6a801705825789ba2ef40a50aad07135f8c70b77139fedc1f2432c32b46f2cf24731bbe,cmake ./,,ERR,19032022
5773758eab8db215b6af9bb2cf7ed049f57cea1531b403d98e8bf872206ec6266c74ce3d294e509bad7b860cfe67bcee08d4597f8ad7af76ed0465655fc88858,SKEEP,NULL,,19032022
e8f2b4ff17e4b5c4ac778514b59e694242df2ae2bc32ad628c01173e90f5dbf4e2a4eff7809a078f2ac5d7ac48e2b539bc00f6a269ae955df51e77e603e1164d,SKEEP,NULL,,19032022
506983a6ef7e819b7693232782b0527cfd7df5daaa46dd641de250840b64a8477615d003568a0a54a1fa9ac06b563e7a8a5d6da48697217ee9969bd155b7f315,cmake ./,,OK,19032022
0cb8bf1be19e3267164879a6a3a9e5cd0a3e6a997fa8e013bf945a18ce744cf4bcc4ccccc8c1f2da1bc37c84acea526ac3c0bc70c68fb9b6fef910f5338d6f92,SKEEP,NULL,,19032022
